client_name,project_number,business_unit_id,business_unit,region_id,region
"Ridgeway University","PRJ-1000",1,"Commercial Construction",1,"North America"
"Hamilton Smith Ltd","PRJ-1001",2,"Residential Joinery",2,"EMEA"
"Rex Media Group","PRJ-1002",3,"Fitouts & Retail",3,"APAC"
"Boom FM","PRJ-1003",1,"Commercial Construction",1,"North America"
"Petrie McLoud Watson & Associates","PRJ-1004",2,"Residential Joinery",2,"EMEA"
"Bank West","PRJ-1005",3,"Fitouts & Retail",3,"APAC"
"City Limousines","PRJ-1006",1,"Commercial Construction",1,"North America"
"Young Bros Transport","PRJ-1007",2,"Residential Joinery",2,"EMEA"
"Port & Philip Freight","PRJ-1008",3,"Fitouts & Retail",3,"APAC"
"DIISR - Small Business Services","PRJ-1009",1,"Commercial Construction",1,"North America"
"Basket Case","PRJ-1010",2,"Residential Joinery",2,"EMEA"
"City Agency","PRJ-1011",3,"Fitouts & Retail",3,"APAC"
"Marine Systems","PRJ-1012",1,"Commercial Construction",1,"North America"
"Bayside Club","PRJ-1013",2,"Residential Joinery",2,"EMEA"
