invoice_id,invoice_number,status,type,total,sub_total,total_tax,amount_due,amount_paid,currency_code,date_string,due_date_string,contact__contact_id,contact__name
inv_1001,INV-0001,PAID,ACCREC,145320.5,132109.55,13210.95,0.0,145320.5,USD,2026-06-20 09:00:00,2026-07-20,xero_c_2001,Acme Corp
inv_1002,INV-0002,PAID,ACCREC,220180.75,200164.32,20016.43,0.0,220180.75,USD,2026-05-25 10:00:00,2026-06-25,xero_c_2003,Apex Design
inv_1003,INV-0003,AUTHORISED,ACCREC,50045.2,45495.64,4549.56,50045.2,0.0,USD,2026-06-30 11:00:00,2026-07-30,xero_c_2004,Eco Joinery Co
inv_1004,INV-0004,PAID,ACCREC,55455.5,50414.09,5041.41,0.0,55455.5,USD,2026-06-18 14:00:00,2026-07-18,xero_c_2005,Modern Office Group
inv_1005,INV-0005,PAID,ACCREC,100125.0,91022.73,9102.27,0.0,100125.0,USD,2026-06-10 15:30:00,2026-07-10,xero_c_2003,Apex Design
inv_1006,INV-0006,AUTHORISED,ACCREC,10080.3,9163.91,916.39,10080.3,0.0,USD,2026-07-02 09:30:00,2026-08-02,xero_c_2001,Acme Corp
inv_1007,INV-0007,PAID,ACCREC,130750.35,118863.95,11886.4,0.0,130750.35,USD,2026-05-22 10:30:00,2026-06-22,xero_c_2003,Apex Design
inv_1008,INV-0008,DRAFT,ACCREC,15012.8,13648.0,1364.8,15012.8,0.0,USD,2026-07-09 16:45:00,2026-08-09,xero_c_2004,Eco Joinery Co
inv_1009,INV-0009,PAID,ACCREC,60055.4,54595.82,5459.58,0.0,60055.4,USD,2026-07-01 11:30:00,2026-08-01,xero_c_2001,Acme Corp
inv_1100,INV-1100,PAID,ACCREC,41399.23,37635.66,3763.57,0.0,41399.23,USD,2025-05-10 13:00:00,2025-06-09,xero_c_2001,Acme Corp
inv_1101,INV-1101,PAID,ACCREC,139563.14,126875.58,12687.56,0.0,139563.14,USD,2025-05-14 17:00:00,2025-06-13,xero_c_2003,Apex Design
inv_1102,INV-1102,PAID,ACCREC,49876.72,45342.47,4534.25,0.0,49876.72,USD,2025-06-02 11:00:00,2025-07-02,xero_c_2001,Acme Corp
inv_1103,INV-1103,PAID,ACCREC,180698.52,164271.38,16427.14,0.0,180698.52,USD,2025-06-05 09:00:00,2025-07-05,xero_c_2004,Eco Joinery Co
inv_1104,INV-1104,PAID,ACCREC,182635.44,166032.22,16603.22,0.0,182635.44,USD,2025-05-30 10:00:00,2025-06-29,xero_c_2003,Apex Design
inv_1105,INV-1105,PAID,ACCREC,36424.4,33113.09,3311.31,0.0,36424.4,USD,2025-06-13 13:00:00,2025-07-13,xero_c_2004,Eco Joinery Co
inv_1106,INV-1106,PAID,ACCREC,166549.3,151408.45,15140.85,0.0,166549.3,USD,2025-06-14 14:00:00,2025-07-14,xero_c_2001,Acme Corp
inv_1107,INV-1107,PAID,ACCREC,103962.53,94511.39,9451.14,0.0,103962.53,USD,2025-07-09 15:00:00,2025-08-08,xero_c_2005,Modern Office Group
inv_1108,INV-1108,PAID,ACCREC,133845.35,121677.59,12167.76,0.0,133845.35,USD,2025-07-23 16:00:00,2025-08-22,xero_c_2005,Modern Office Group
inv_1109,INV-1109,PAID,ACCREC,147001.73,133637.94,13363.79,0.0,147001.73,USD,2025-08-05 17:00:00,2025-09-04,xero_c_2004,Eco Joinery Co
inv_1110,INV-1110,PAID,ACCREC,38704.55,35185.95,3518.6,0.0,38704.55,USD,2025-08-14 09:00:00,2025-09-13,xero_c_2004,Eco Joinery Co
inv_1111,INV-1111,PAID,ACCREC,35244.14,32040.13,3204.01,0.0,35244.14,USD,2025-09-07 17:00:00,2025-10-07,xero_c_2005,Modern Office Group
inv_1112,INV-1112,PAID,ACCREC,55465.59,50423.26,5042.33,0.0,55465.59,USD,2025-10-01 16:00:00,2025-10-31,xero_c_2003,Apex Design
inv_1113,INV-1113,PAID,ACCREC,153094.8,139177.09,13917.71,0.0,153094.8,USD,2025-09-28 10:00:00,2025-10-28,xero_c_2001,Acme Corp
inv_1114,INV-1114,PAID,ACCREC,154283.56,140257.78,14025.78,0.0,154283.56,USD,2025-09-19 16:00:00,2025-10-19,xero_c_2003,Apex Design
inv_1115,INV-1115,PAID,ACCREC,59199.57,53817.79,5381.78,0.0,59199.57,USD,2025-11-02 12:00:00,2025-12-02,xero_c_2001,Acme Corp
inv_1116,INV-1116,PAID,ACCREC,130899.41,118999.46,11899.95,0.0,130899.41,USD,2025-10-17 15:00:00,2025-11-16,xero_c_2005,Modern Office Group
inv_1117,INV-1117,PAID,ACCREC,105456.06,95869.15,9586.91,0.0,105456.06,USD,2025-11-02 14:00:00,2025-12-02,xero_c_2001,Acme Corp
inv_1118,INV-1118,PAID,ACCREC,117627.05,106933.68,10693.37,0.0,117627.05,USD,2025-11-30 12:00:00,2025-12-30,xero_c_2001,Acme Corp
inv_1119,INV-1119,PAID,ACCREC,132470.44,120427.67,12042.77,0.0,132470.44,USD,2025-11-27 14:00:00,2025-12-27,xero_c_2003,Apex Design
inv_1120,INV-1120,PAID,ACCREC,165683.24,150621.13,15062.11,0.0,165683.24,USD,2025-11-25 13:00:00,2025-12-25,xero_c_2003,Apex Design
inv_1121,INV-1121,PAID,ACCREC,174080.97,158255.43,15825.54,0.0,174080.97,USD,2025-11-25 17:00:00,2025-12-25,xero_c_2004,Eco Joinery Co
inv_1122,INV-1122,PAID,ACCREC,57575.57,52341.43,5234.14,0.0,57575.57,USD,2025-11-16 13:00:00,2025-12-16,xero_c_2003,Apex Design
inv_1123,INV-1123,PAID,ACCREC,26547.15,24133.77,2413.38,0.0,26547.15,USD,2026-01-02 16:00:00,2026-02-01,xero_c_2003,Apex Design
