value,deals_id,_dlt_root_id,_dlt_parent_id,_dlt_list_idx,_dlt_id
2001,1001,root1,parent1,0,dlt_id_1
2002,1002,root2,parent2,0,dlt_id_2
2001,1003,root1,parent1,1,dlt_id_3
2003,1004,root3,parent3,0,dlt_id_4
2002,1005,root2,parent2,1,dlt_id_5
2004,1006,root4,parent4,0,dlt_id_6
2003,1008,root3,parent3,1,dlt_id_7
2004,1010,root4,parent4,1,dlt_id_8
2005,1011,root5,parent5,0,dlt_id_9
2003,1013,root3,parent3,2,dlt_id_10
2001,1100,root_1100,parent_1100,0,dlt_id_1100
2003,1101,root_1101,parent_1101,0,dlt_id_1101
2001,1102,root_1102,parent_1102,0,dlt_id_1102
2004,1103,root_1103,parent_1103,0,dlt_id_1103
2003,1104,root_1104,parent_1104,0,dlt_id_1104
2004,1105,root_1105,parent_1105,0,dlt_id_1105
2003,1106,root_1106,parent_1106,0,dlt_id_1106
2001,1107,root_1107,parent_1107,0,dlt_id_1107
2005,1108,root_1108,parent_1108,0,dlt_id_1108
2005,1109,root_1109,parent_1109,0,dlt_id_1109
2003,1110,root_1110,parent_1110,0,dlt_id_1110
2004,1111,root_1111,parent_1111,0,dlt_id_1111
2004,1112,root_1112,parent_1112,0,dlt_id_1112
2005,1113,root_1113,parent_1113,0,dlt_id_1113
2005,1114,root_1114,parent_1114,0,dlt_id_1114
2001,1115,root_1115,parent_1115,0,dlt_id_1115
2003,1116,root_1116,parent_1116,0,dlt_id_1116
2001,1117,root_1117,parent_1117,0,dlt_id_1117
2003,1118,root_1118,parent_1118,0,dlt_id_1118
2001,1119,root_1119,parent_1119,0,dlt_id_1119
2005,1120,root_1120,parent_1120,0,dlt_id_1120
2001,1121,root_1121,parent_1121,0,dlt_id_1121
2001,1122,root_1122,parent_1122,0,dlt_id_1122
2003,1123,root_1123,parent_1123,0,dlt_id_1123
2003,1124,root_1124,parent_1124,0,dlt_id_1124
2004,1125,root_1125,parent_1125,0,dlt_id_1125
2003,1126,root_1126,parent_1126,0,dlt_id_1126
2001,1127,root_1127,parent_1127,0,dlt_id_1127
2003,1128,root_1128,parent_1128,0,dlt_id_1128
2003,1129,root_1129,parent_1129,0,dlt_id_1129
2003,1130,root_1130,parent_1130,0,dlt_id_1130
2003,1131,root_1131,parent_1131,0,dlt_id_1131
2005,1132,root_1132,parent_1132,0,dlt_id_1132
2004,1133,root_1133,parent_1133,0,dlt_id_1133
2001,1134,root_1134,parent_1134,0,dlt_id_1134
2003,1135,root_1135,parent_1135,0,dlt_id_1135
2004,1136,root_1136,parent_1136,0,dlt_id_1136
2005,1137,root_1137,parent_1137,0,dlt_id_1137
2004,1138,root_1138,parent_1138,0,dlt_id_1138
2003,1139,root_1139,parent_1139,0,dlt_id_1139
2005,1140,root_1140,parent_1140,0,dlt_id_1140
2005,1141,root_1141,parent_1141,0,dlt_id_1141
2005,1142,root_1142,parent_1142,0,dlt_id_1142
2005,1143,root_1143,parent_1143,0,dlt_id_1143
2003,1144,root_1144,parent_1144,0,dlt_id_1144
2005,1145,root_1145,parent_1145,0,dlt_id_1145
2005,1146,root_1146,parent_1146,0,dlt_id_1146
2001,1147,root_1147,parent_1147,0,dlt_id_1147
