id,name,active,project_number,company__id,company__name,created_at,updated_at
3001,Luxury Villa Joinery,True,PROJ-1001,5001,Acme Corp,2026-06-18 09:00:00,2026-06-18 09:00:00
3002,Apex Penthouse Kitchen,True,PROJ-1002,5002,Apex Design,2026-05-27 10:00:00,2026-05-27 10:00:00
3003,Cabinetry Block B,True,PROJ-1003,5003,Eco Joinery Co,2026-06-26 08:30:00,2026-06-26 08:30:00
3004,Suburban Millwork,True,PROJ-1004,5002,Apex Design,2026-06-12 14:00:00,2026-06-12 14:00:00
3005,Modern Reception Build,True,PROJ-1005,5004,Modern Office Group,2026-06-22 11:30:00,2026-06-22 11:30:00
3006,Beachside Decking (Draft),False,PROJ-1006,5002,Apex Design,2026-07-09 15:00:00,2026-07-09 15:00:00
3100,Luxury Villa Phase 3,false,PROJ-3100,5001,Acme Corp,2025-05-03 13:00:00,2025-05-25 13:00:00
3101,Apex Joinery Phase 1,false,PROJ-3101,5002,Apex Design,2025-05-12 17:00:00,2025-06-26 17:00:00
3102,Villa Millwork Phase 2,false,PROJ-3102,5001,Acme Corp,2025-05-29 11:00:00,2025-07-07 11:00:00
3103,Wood Samples Phase 1,false,PROJ-3103,5003,Eco Joinery Co,2025-05-30 09:00:00,2025-07-07 09:00:00
3104,Penthouse Kitchen Phase 2,false,PROJ-3104,5002,Apex Design,2025-05-27 10:00:00,2025-06-21 10:00:00
3105,Wood Samples Phase 3,false,PROJ-3105,5003,Eco Joinery Co,2025-06-11 13:00:00,2025-07-21 13:00:00
3106,Villa Millwork Phase 2,false,PROJ-3106,5001,Acme Corp,2025-06-11 14:00:00,2025-07-24 14:00:00
3107,Modern Reception Phase 3,false,PROJ-3107,5004,Modern Office Group,2025-07-04 15:00:00,2025-08-12 15:00:00
3108,Lobby Panelling Phase 1,false,PROJ-3108,5004,Modern Office Group,2025-07-17 16:00:00,2025-08-19 16:00:00
3109,Eco Cabinetry Phase 2,false,PROJ-3109,5003,Eco Joinery Co,2025-07-29 17:00:00,2025-08-21 17:00:00
3110,Wood Samples Phase 1,false,PROJ-3110,5003,Eco Joinery Co,2025-08-11 09:00:00,2025-09-08 09:00:00
3111,Modern Reception Phase 1,false,PROJ-3111,5004,Modern Office Group,2025-08-31 17:00:00,2025-10-12 17:00:00
3112,Loft Renovations Phase 2,false,PROJ-3112,5002,Apex Design,2025-09-29 16:00:00,2025-11-11 16:00:00
3113,Acme Office Phase 2,false,PROJ-3113,5001,Acme Corp,2025-09-25 10:00:00,2025-10-28 10:00:00
3114,Villa Millwork Phase 2,false,PROJ-3114,5001,Acme Corp,2025-10-30 12:00:00,2025-11-27 12:00:00
3115,Lobby Panelling Phase 3,false,PROJ-3115,5004,Modern Office Group,2025-10-12 15:00:00,2025-11-19 15:00:00
3116,Acme Office Phase 2,false,PROJ-3116,5001,Acme Corp,2025-10-27 14:00:00,2025-11-18 14:00:00
3117,Acme Office Phase 1,false,PROJ-3117,5001,Acme Corp,2025-11-26 12:00:00,2025-12-24 12:00:00
3118,Loft Renovations Phase 1,false,PROJ-3118,5002,Apex Design,2025-11-24 14:00:00,2025-12-16 14:00:00
3119,Loft Renovations Phase 3,false,PROJ-3119,5002,Apex Design,2025-12-28 16:00:00,2026-02-04 16:00:00
3120,Loft Renovations Phase 1,false,PROJ-3120,5002,Apex Design,2025-12-19 11:00:00,2026-01-27 11:00:00
3121,Villa Millwork Phase 1,false,PROJ-3121,5001,Acme Corp,2026-01-06 13:00:00,2026-02-07 13:00:00
3122,Penthouse Kitchen Phase 3,false,PROJ-3122,5002,Apex Design,2026-02-13 09:00:00,2026-03-24 09:00:00
3123,Eco-Cabin Project Phase 3,false,PROJ-3123,5003,Eco Joinery Co,2026-02-25 10:00:00,2026-03-23 10:00:00
3124,Modern Reception Phase 3,false,PROJ-3124,5004,Modern Office Group,2026-02-27 15:00:00,2026-04-13 15:00:00
3125,Eco Cabinetry Phase 3,false,PROJ-3125,5003,Eco Joinery Co,2026-02-19 16:00:00,2026-03-13 16:00:00
3126,Penthouse Kitchen Phase 1,false,PROJ-3126,5002,Apex Design,2026-02-25 13:00:00,2026-04-08 13:00:00
3127,Modern Reception Phase 2,false,PROJ-3127,5004,Modern Office Group,2026-03-07 17:00:00,2026-04-13 17:00:00
3128,Office Fitout Phase 2,false,PROJ-3128,5004,Modern Office Group,2026-04-01 11:00:00,2026-04-29 11:00:00
3129,Office Fitout Phase 2,false,PROJ-3129,5004,Modern Office Group,2026-03-06 13:00:00,2026-04-17 13:00:00
3130,Villa Millwork Phase 1,false,PROJ-3130,5001,Acme Corp,2026-04-18 09:00:00,2026-05-18 09:00:00
